accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN03853042	SRS985929		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_Control_12h										
SAMN03853043	SRS986422		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_Control_24h										
SAMN03853044	SRS985926		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM104_0h										
SAMN03853045	SRS985927		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM104_6h										
SAMN03853046	SRS986419		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM104_12h										
SAMN03853047	SRS986428		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM104_24h										
SAMN03853048	SRS986423		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM401_0h										
SAMN03853049	SRS985925		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM401_6h										
SAMN03853050	SRS985924		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM401_12h										
SAMN03853051	SRS986427		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM401_24h										
SAMN04145912	SRS1099278		THP-1	monocyte					THP1_JMJD1C _ChIP seq		2015-11-03			9606	Homo sapiens	GSM1901549										
SAMN04145913	SRS1099277		THP-1	monocyte					THP1_LYL1_ChIP seq		2015-11-03			9606	Homo sapiens	GSM1901550										
SAMN04166602	SRS1114465			monocyte					Hum_1_M		2015-12-04			9606	Homo sapiens	GSM1908387										
SAMN04166606	SRS1114461			monocyte					Hum_3_M		2015-12-04			9606	Homo sapiens	GSM1908393										
SAMN04166609	SRS1114457			monocyte					Hum_4_M		2015-12-04			9606	Homo sapiens	GSM1908396										
SAMN04166610	SRS1114462			monocyte					Hum_2_M		2015-12-04			9606	Homo sapiens	GSM1908390										
SAMN04271151	SRS1164427			Monocyte					Monocyte_donor I		2016-08-05		Blood	9606	Homo sapiens	GSM1941368										
SAMN04271152	SRS1164425			Monocyte					Monocyte_donor II		2016-08-05		Blood	9606	Homo sapiens	GSM1941369										
SAMN04271153	SRS1164424			Monocyte					Monocyte_donor III		2016-08-05		Blood	9606	Homo sapiens	GSM1941370										
SAMN04276593	SRS1167194			Monocyte					M1C		2015-11-20			9606	Homo sapiens	GSM1943688										
SAMN04276594	SRS1167193			Monocyte					M1M		2015-11-20			9606	Homo sapiens	GSM1943689										
SAMN04276595	SRS1167192			Monocyte					M1T		2015-11-20			9606	Homo sapiens	GSM1943690										
SAMN04276596	SRS1167191			Monocyte					M2M		2015-11-20			9606	Homo sapiens	GSM1943691										
SAMN04276597	SRS1167190			Monocyte					M3C		2015-11-20			9606	Homo sapiens	GSM1943692										
SAMN04276598	SRS1167189			Monocyte					M3M		2015-11-20			9606	Homo sapiens	GSM1943693										
SAMN04276599	SRS1167188			Monocyte					M3T		2015-11-20			9606	Homo sapiens	GSM1943694										
SAMN05462721	SRS1592123			Monocyte					singles-PB1022-mono-160128-27		2016-07-31			9606	Homo sapiens	GSM2255224										
SAMN05462722	SRS1592122			Monocyte					singles-PB1022-mono-160128-26		2016-07-31			9606	Homo sapiens	GSM2255223										
SAMN05462723	SRS1592120			Monocyte					singles-PB1022-mono-160128-25		2016-07-31			9606	Homo sapiens	GSM2255222										
SAMN05462724	SRS1592121			Monocyte					singles-PB1022-mono-160128-24		2016-07-31			9606	Homo sapiens	GSM2255221										
SAMN05462725	SRS1592119			Monocyte					singles-PB1022-mono-160128-23		2016-07-31			9606	Homo sapiens	GSM2255220										
SAMN05462726	SRS1592118			Monocyte					singles-PB1022-mono-160128-22		2016-07-31			9606	Homo sapiens	GSM2255219										
SAMN05462727	SRS1592117			Monocyte					singles-PB1022-mono-160128-21		2016-07-31			9606	Homo sapiens	GSM2255218										
SAMN05462728	SRS1592115			Monocyte					singles-PB1022-mono-160128-20		2016-07-31			9606	Homo sapiens	GSM2255217										
SAMN05462729	SRS1592116			Monocyte					singles-PB1022-mono-160128-19		2016-07-31			9606	Homo sapiens	GSM2255216										
SAMN05462730	SRS1592114			Monocyte					singles-PB1022-mono-160128-18		2016-07-31			9606	Homo sapiens	GSM2255215										
SAMN05462731	SRS1592112			Monocyte					singles-PB1022-mono-160128-17		2016-07-31			9606	Homo sapiens	GSM2255214										
SAMN05462732	SRS1592111			Monocyte					singles-PB1022-mono-160128-16		2016-07-31			9606	Homo sapiens	GSM2255213										
SAMN05462733	SRS1592113			Monocyte					singles-PB1022-mono-160128-15		2016-07-31			9606	Homo sapiens	GSM2255212										
SAMN05462734	SRS1592108			Monocyte					singles-PB1022-mono-160128-14		2016-07-31			9606	Homo sapiens	GSM2255211										
SAMN05462735	SRS1592109			Monocyte					singles-PB1022-mono-160128-13		2016-07-31			9606	Homo sapiens	GSM2255210										
SAMN05462736	SRS1592110			Monocyte					singles-PB1022-mono-160128-12		2016-07-31			9606	Homo sapiens	GSM2255209										
SAMN05462737	SRS1592107			Monocyte					singles-PB1022-mono-160128-11		2016-07-31			9606	Homo sapiens	GSM2255208										
SAMN05462738	SRS1592106			Monocyte					singles-PB1022-mono-160128-10		2016-07-31			9606	Homo sapiens	GSM2255207										
SAMN05462739	SRS1592105			Monocyte					singles-PB1022-mono-160128-9		2016-07-31			9606	Homo sapiens	GSM2255206										
SAMN05462740	SRS1592164			Monocyte					singles-PB1022-mono-160128-68		2016-07-31			9606	Homo sapiens	GSM2255265										
SAMN05462741	SRS1592163			Monocyte					singles-PB1022-mono-160128-67		2016-07-31			9606	Homo sapiens	GSM2255264										
SAMN05462742	SRS1592161			Monocyte					singles-PB1022-mono-160128-66		2016-07-31			9606	Homo sapiens	GSM2255263										
SAMN05462743	SRS1592162			Monocyte					singles-PB1022-mono-160128-65		2016-07-31			9606	Homo sapiens	GSM2255262										
SAMN05462744	SRS1592160			Monocyte					singles-PB1022-mono-160128-64		2016-07-31			9606	Homo sapiens	GSM2255261										
SAMN05462745	SRS1592159			Monocyte					singles-PB1022-mono-160128-63		2016-07-31			9606	Homo sapiens	GSM2255260										
SAMN05462746	SRS1592158			Monocyte					singles-PB1022-mono-160128-62		2016-07-31			9606	Homo sapiens	GSM2255259										
